player,comp,round,date,venue,opp,pos,min,type,assisted
ronaldo,Copa del Rey,last 16,12/22/2010,H,Levante,LW,44',Right-footed shot,Karim Benzema
ronaldo,,,,,,,71',Right-footed shot,Ángel Di María
ronaldo,,,,,,,73',Right-footed shot,Karim Benzema
ronaldo,LaLiga,17,1/3/2011,A,Getafe  ,LW,11',Penalty,
ronaldo,,,,,,,57',Right-footed shot,Karim Benzema
ronaldo,LaLiga,18,1/9/2011,H,Villarreal  ,LW,10',Right-footed shot,Mesut Özil
ronaldo,,,,,,,45',Header,Xabi Alonso
ronaldo,,,,,,,79',Left-footed shot,Kaká
ronaldo,Copa del Rey,Quarter-Finals,1/13/2011,H,Atlético Madrid,LW,60',Right-footed shot,Mesut Özil
ronaldo,Copa del Rey,Quarter-Finals,1/20/2011,A,Atlético Madrid,CF,22',Right-footed shot,Sergio Ramos
ronaldo,LaLiga,22,2/6/2011,H,Real Sociedad  ,LW,20',Left-footed shot,Kaká
ronaldo,,,,,,,42',Header,Mesut Özil
ronaldo,LaLiga,26,3/3/2011,H,Málaga CF  ,LW,50',Left-footed shot,Mesut Özil
ronaldo,,,,,,,67',Penalty,
ronaldo,,,,,,,76',Right-footed shot,Sergio Canales
ronaldo,Champions League,Quarter-Finals,4/5/2011,H,Spurs,LW,87',Right-footed shot,Kaká
ronaldo,LaLiga,31,4/9/2011,A,Athletic  ,,70',Right-footed shot,Esteban Granero
ronaldo,Champions League,Quarter-Finals,4/13/2011,A,Spurs,RW,50',Right-footed shot,Sami Khedira
ronaldo,LaLiga,32,4/16/2011,H,FC Barcelona  ,LW,82',Penalty,
ronaldo,Copa del Rey,Final,4/20/2011,A,FC Barcelona,CF,103',Header,Ángel Di María
ronaldo,LaLiga,35,5/7/2011,A,Sevilla FC  ,LW,30',Right-footed shot,Pepe
ronaldo,,,,,,,64',Right-footed shot,
ronaldo,,,,,,,70',Right-footed shot,Mesut Özil
ronaldo,,,,,,,76',Right-footed shot,Karim Benzema
ronaldo,LaLiga,36,5/10/2011,H,Getafe  ,LW,23',Header,Mesut Özil
ronaldo,,,,,,,57',Left-footed shot,Mesut Özil
ronaldo,,,,,,,90'+1,Penalty,
ronaldo,LaLiga,37,5/15/2011,A,Villarreal  ,CF,22',Direct free kick,
ronaldo,,,,,,,90',Direct free kick,
ronaldo,LaLiga,38,5/21/2011,H,UD Almería  ,LW,4',Right-footed shot,Sergio Ramos
ronaldo,,,,,,,76',Right-footed shot,Sergio Ramos
ronaldo,Supercopa,final,8/17/2011,A,FC Barcelona,LW,20',Right-footed shot,Karim Benzema
ronaldo,LaLiga,2,8/28/2011,A,Real Zaragoza  ,LW,23',Left-footed shot,Mesut Özil
ronaldo,,,,,,,70',Right-footed shot,Ángel Di María
ronaldo,,,,,,,86',Right-footed shot,Kaká
ronaldo,LaLiga,3,9/10/2011,H,Getafe  ,LW,59',Penalty,
ronaldo,LaLiga,6,9/24/2011,H,Rayo Vallecano  ,LW,39',Left-footed shot,Kaká
ronaldo,,,,,,,51',Penalty,
ronaldo,,,,,,,84',Penalty,
